,filename,name,split
3187,2565342969714315059.jpg,3,test
534,1015776863900749007.jpg,0,train
2108,9446324748039360779.jpg,3,train
852,6728737755149541997.jpg,2,train
1060,569820239732785081.jpg,2,train
1209,17720405786713757495.jpg,4,train
2703,13766527160377856189.jpg,0,test
458,16938953344367282209.jpg,2,train
1650,7211931632300284750.jpg,3,train
1090,12616338865491157325.jpg,2,train
518,7082695428707084902.jpg,3,train
922,13841137003068484120.jpg,2,train
506,13402633667389204223.jpg,3,train
2276,15894044099096358761.jpg,1,train
2191,3054563146270018998.jpg,1,train
2081,6538475827413544937.jpg,3,train
3183,8649599206303908674.jpg,3,test
2930,13233974052466335854.jpg,3,test
1959,16302150923919517353.jpg,2,train
638,4712250237481153448.jpg,2,train
1768,4638722743797623629.jpg,2,train
3069,3677878590009595375.jpg,2,test
3104,14536152058877513356.jpg,1,test
1987,10428024960477388876.jpg,0,train
1300,9064284243061439976.jpg,1,train
744,10367174772386635910.jpg,2,train
877,6100265905874111623.jpg,4,train
1937,15561083631444985496.jpg,2,train
448,16938953344367282209.jpg,1,train
2344,17849358250575304656.jpg,1,train
3141,17810394916159195941.jpg,1,test
662,4813505903837706761.jpg,2,train
841,1564254162518022691.jpg,2,train
2331,9355856824446748112.jpg,2,train
121,5361302203013575181.jpg,3,train
1211,13208512710024899718.jpg,2,train
253,2898255527217660961.jpg,2,train
281,6098058478572089695.jpg,1,train
1978,10428024960477388876.jpg,2,train
2304,12423947721562535646.jpg,1,train
1748,6467506007014747341.jpg,2,train
1641,1166397407681870527.jpg,2,train
160,3328970631282257330.jpg,1,train
2692,2550117966202421192.jpg,1,test
47,18142366223568697405.jpg,1,train
143,15216899029748348501.jpg,1,train
2421,13477826264410485178.jpg,1,train
337,4256918643034166447.jpg,2,train
1884,6557703876100853142.jpg,1,train
170,3328970631282257330.jpg,2,train
1059,8011881354595190901.jpg,1,train
1302,9064284243061439976.jpg,1,train
2087,6538475827413544937.jpg,0,train
2525,12962369739675178783.jpg,1,train
1792,1516196808018114074.jpg,1,train
737,15733583883269136207.jpg,0,train
3204,2854853566412594365.jpg,3,test
1200,17720405786713757495.jpg,2,train
2272,15894044099096358761.jpg,1,train
992,17567368886802522903.jpg,2,train
1014,11552676012353092964.jpg,3,train
2891,12137694297843394779.jpg,2,test
2746,17297868463399590722.jpg,1,test
865,8229490179833672593.jpg,2,train
31,17970151895825168821.jpg,1,train
1619,1718140115527999981.jpg,2,train
2645,15487637132093096650.jpg,3,test
811,14232358344079240099.jpg,3,train
1755,3286260616898836908.jpg,3,train
1931,15561083631444985496.jpg,1,train
1227,11679279233536220534.jpg,2,train
100,12172748615124541696.jpg,3,train
10,11542079654603247245.jpg,1,train
3028,16221845868820178769.jpg,1,test
2306,12423947721562535646.jpg,1,train
1502,4941618483343325832.jpg,1,train
449,16938953344367282209.jpg,1,train
1984,10428024960477388876.jpg,3,train
376,1453155112313607465.jpg,1,train
1777,1516196808018114074.jpg,2,train
1296,11048062472520554070.jpg,1,train
547,10092177608049793468.jpg,2,train
2432,13477826264410485178.jpg,3,train
3065,3677878590009595375.jpg,1,test
2125,17534376311897562412.jpg,2,train
2151,674003953395678185.jpg,1,train
252,2898255527217660961.jpg,2,train
3212,1761984081992621553.jpg,0,test
2028,2102164453298966728.jpg,0,train
466,16938953344367282209.jpg,2,train
1554,17164679759218207040.jpg,1,train
420,8962534070669609791.jpg,1,train
185,1308288297357219531.jpg,3,train
2219,1438323530189796974.jpg,2,train
1968,12073032293376960277.jpg,1,train
1160,10186684074375123860.jpg,1,train
2585,596591882907119187.jpg,1,test
2292,5993735020719786641.jpg,2,train
1489,4941618483343325832.jpg,3,train
2173,6259679437332569288.jpg,1,train
245,2898255527217660961.jpg,4,train
1690,11919671658364620613.jpg,1,train
2807,10532954181473538646.jpg,2,test
1909,7309238702347085417.jpg,1,train
1528,12351922790348713650.jpg,2,train
289,11451354028849950585.jpg,4,train
3006,8056956523720705141.jpg,2,test
777,6111524667015932981.jpg,1,train
521,7082695428707084902.jpg,1,train
1306,7991875099651331775.jpg,0,train
2495,932071742494973078.jpg,3,train
2433,13477826264410485178.jpg,3,train
795,13470241815455279504.jpg,2,train
1880,6557703876100853142.jpg,2,train
1858,13290279215101630706.jpg,0,train
363,7993352214743247356.jpg,2,train
2570,4253023368444023869.jpg,2,test
1194,835701502562989098.jpg,1,train
1694,12297644771453697310.jpg,1,train
1772,3066479970415983262.jpg,2,train
72,15255658567635252170.jpg,2,train
3070,3677878590009595375.jpg,4,test
2401,5439430334192829366.jpg,2,train
940,213380772593509294.jpg,2,train
1204,17720405786713757495.jpg,3,train
1228,11679279233536220534.jpg,2,train
1560,11082462375281465261.jpg,1,train
1732,6467506007014747341.jpg,1,train
3103,14536152058877513356.jpg,4,test
2635,12719125937958125865.jpg,2,test
